site_da_vaga,link_site,link_origem,data_publicacao,data_expiracao,data_coleta,posicao,senioridade,titulo_da_vaga,nome_empresa,cidade,estado,modalidade,contrato,regime,pcd,codigo_vaga,descricao,skills
Glassdoor,"https://www.glassdoor.com.br/job-listing/t%C3%A9cnico-projetista-sinco-sinaliza%C3%A7%C3%A3o-JV_IC2412711_KO0,18_KE19,36.htm?jl=1009454706553",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&tgt=APPLY_START&s=344&guid=00000192290c64e39bacd4330311ecad&src=GD_JOB_VIEW&t=NS&vt=w&ea=1&cs=1_a85276ff&cb=1727265531268&jobListingId=1009454706553&jrtk=5-yul1-3-1i8kgop8hl6gk801,2024-09-20,,2024-09-25,Geoprocessamento,,Técnico Projetista,Sinco Sinalização,Campina Grande do Sul,PR,,,,,1009454706553,"Se você se considera ágil, organizada, com vontade de fazer acontecer, empática, tem disposição para aprender e para compartilhar o seu conhecimento conosco, essa vaga é sua!Estamos buscando um Técnico Projetista, que terá como principais responsabilidades:Atividades Atribuídas: Atuação na área técnica rodoviária, elaborando desenhos técnicos em autocad para projetos de sinalização viária sob as diretrizes do código de trânsito e das normas técnicas;Além disso, irá efetuar levantamentos e pesquisas para fornecimento de dados relativos a obras e serviços rodoviários;Será considerado um diferencial ter conhecimento em geoprocessamento.Requisitos:Conhecimento em autocad;Possuir técnico em edificações ou curso em áreas correlatas, pacote office intermediário/avançado e boa relação com trabalho em equipe.Tipo de vaga: Tempo IntegralPagamento: Até R$5.000,00 por mês",['AutoCAD']
Glassdoor,"https://www.glassdoor.com.br/job-listing/engenheiro-de-geoprocessamento-jobbol-JV_IC2398468_KO0,30_KE31,37.htm?jl=1009432538172",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=00000192290cbed39986c8919d4195c9&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_1c4522c2&cb=1727265554285&jobListingId=1009432538172&jrtk=5-yul1-3-1i8kgpfnji97b801,2024-09-03,,2024-09-25,Geoprocessamento,,Engenheiro de Geoprocessamento,Jobbol,Goiânia,GO,,,,,1009432538172,"Descrição da oferta:

Empresa de engenharia admite Engenheiro de Geoprocessamento em Goiânia.
Principais Responsabilidades:

Coletar, analisar e interpretar dados geoespaciais utilizando tecnologias como sistemas de informação geográfica (SIG) e sensoriamento remoto. Criar mapas temáticos, modelos digitais de terreno e outras representações geoespaciais para auxiliar no planejamento e tomada de decisões.

Benefícios oferecidos:
Benefícios a combinar em entrevista.
Salário:
A combinar.
Observações:
Regime de contratação: Efetivo
Período: Tempo integral
Horário de trabalho: A combinar.
Categoria: Manutenção / Construção
Local: Goiânia

Id: 29368058196",['Construction']
Glassdoor,"https://www.glassdoor.com.br/job-listing/assistente-de-geoprocessamento-geopixel-JV_IC2464122_KO0,30_KE31,39.htm?jl=1009432407337",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=00000192290d0e50afab5bd02ea3d554&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_dd903326&cb=1727265574605&jobListingId=1009432407337&jrtk=5-yul1-3-1i8kgq3k7h74g801,2024-09-03,,2024-09-25,Geoprocessamento,,Assistente de Geoprocessamento,Geopixel,"São José dos Campos, São Paulo",SP,,,,,1009432407337,"A Geopixel está com vagas abertas para Assistente de Geoprocessamento Pleno.

Se você possui conhecimento em preparação de dados geoespaciais, controle de qualidade e interpretação de imagens de satélite ou aéreas, trabalhos de campo e relatórios de projetos, venha fazer parte no nosso time!!
#vempraGEO
Responsabilidades e atribuições

Analisar a metodologia de coleta, armazenamento e tratamento de informações geoespaciais, alinhando com fornecedores a melhor utilização para atender às necessidades do cliente e encaminhando os insumos para a execução dos serviços.
Organizar e manter atualizado o banco de dados de projetos de geoprocessamento da empresa.
Realizar análise da capacidade técnica de atendimento de fornecedor ao padrão de qualidade, prazo e assistência esperado pela Geopixel, realizando a validação da sua qualificação para prestar serviços para a empresa.
Produzir relatórios internos de acompanhamento de projeto com métricas, desafios e prazos e relatórios mensais de atividades realizadas no período com o objetivo de realizar medições junto ao cliente.
Realizar treinamento e passagem de conhecimento aos atuais e novos colaboradores da empresa.
Monitorar o desenvolvimento dos processos de geoprocessamento, executando atividades técnicas de geração de imagens e de vetores controlando a qualidade dos produtos gerados, buscando garantir a conformidade do resultado com o que foi previsto no planejamento.
Fornecer informações para melhoria dos processos de geração de produtos de imagem e vetores.

Requisitos e qualificações

Ensino Médio Completo ou Cursando em Geografia, Engenharia Cartográfica, Arquitetura, Tecnólogo em Geoprocessamento, Engenharia Florestal, Biologia, Engenharia Ambiental e áreas afins e/ou experiência comprovada.
Conhecimento intermediário em Cartografia;
Pacote Office intermediário;
Noções intermediária em ferramentas SIG (ArcGis, QGis, AutoCad, entre outros) e/ou ferramentas de processamento digital de imagem (PCI, PIX4D, Potree, entre outros);
Inglês intermediário.
Informações adicionais

 Plano de Saúde;
Assistência Odontológica;
Vale Refeição - Cartão Flash;
Vale transporte;
Seguro de vida em grupo;
Horário Flexível;
Day Off no mês de aniversário;
Convênio com farmácias e desconto em folha;
Cooperativa de crédito SICOOB;
Convênio com o SESC (descontos em eventos pagos);
Parceria com psicóloga (valor social);
Parceria com agência de turismo (descontos em pacotes de viagens);
Parceria com Empório Nestlé (descontos na loja física);
Parceria com UNIVAP (descontos nos colégios de educação básica e cursos superiores);
Ginástica Laboral 2x por semana (presencial e on line);
Auxílio-creche *ver condições no RH;
Programa de indicação com premiação;
Oportunidade de crescimento e aprendizado;
Somos líder no segmento, atuando em dezenas prefeituras espalhadas por todo o Brasil e mais de 200 colaboradores trabalhando para atingir os melhores resultados.

Utilizando a inteligência de sistemas de informações, a Geopixel constrói, adapta e amplia a capacidade de gestão e de planejamento dos municípios, melhorando a arrecadação municipal, eficiência dos processos internos e atendimento ao munícipe.

Nosso diferencial é ser uma empresa ética, flexível, experiente e sólida, constituída por uma equipe multidisciplinar com profundo conhecimento prático, acadêmico e de mercado.

Buscamos profissionais que queiram atuar em um ambiente com constante aprendizado, desafios e crescimento!! #vempraGEO","['ArcGIS', 'AutoCAD', 'English', 'Databases', 'Quality control', 'Human resources']"
Glassdoor,"https://www.glassdoor.com.br/job-listing/est%C3%A1gio-em-geoprocessamento-opera%C3%A7%C3%B5es-netvagas-JV_KO0,37_KE38,46.htm?jl=1009452054720",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=00000192290d646f8974021b1d442341&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_d48136b7&cb=1727265596645&jobListingId=1009452054720&jrtk=5-yul1-3-1i8kgqp4mgblm801,2024-09-18,,2024-09-25,Geoprocessamento,,Estágio em geoprocessamento - operações,Netvagas,,,Trabalho remoto,,,,1009452054720,"Descrição:
Deverá estar cursando ensino superior a partir do 2º ano em Geoprocessamento, Engenharia Ambiental, Geografia, Cartografia, Gestão Ambiental, Arquitetura ou áreas afins.
Possuir Noções em Arcgis e Qgis e em geoprocessamento.
Diferenciais: sensoriamento remoto e processamento digital de imagens, noções em cadastro imobiliário e tributação municipal.
Irá atuar na área de projetos com atividades voltadas aos clientes de governo municipal. As atividades contemplarão:
Análise de cadastro imobiliário
Vetorização: Produzir conteúdo geoespacial a partir da interpretação visual dos elementos disponíveis como insumo do projeto (ortofoto, foto de fachada, plantas de loteamento, etc).
Geração de dados geográficos
Participação em treinamentos
Desenho de metodologias técnicas com profissionais seniores
Entendimento de fluxos de qualidade e adequação de processos de trabalho certificados.

2409190202241104032",['ArcGIS']
Glassdoor,"https://www.glassdoor.com.br/job-listing/engenheiro-cartogr%C3%A1fico-bk-consultoria-e-servi%C3%A7os-JV_IC2479061_KO0,23_KE24,49.htm?jl=1009379148986",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=00000192290dd71286051f11afb2e16a&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_61541ad1&cb=1727265626227&jobListingId=1009379148986&jrtk=5-yul1-3-1i8kgrlra2es1001,2024-09-24,,2024-09-25,Geoprocessamento,,Engenheiro Cartográfico,BK Consultoria e Serviços,"São Paulo, São Paulo",SP,,,,,1009379148986,"
Atividades de análise patrimonial, experiência em gestão patrimonial, com capacitação ou extensão em topografia e geoprocessamento, possuir CNH categoria B, conhecimento em Ms-Office (MS-Word, MS-Excel, Ms-PowerPoint) e ArqGis e AutoCAd com experiência comprovada na execução das atividades relacionadas, bem como expertise em gestão de ativos e experiência em realizar laudo.

Escolaridade Mínima: Ensino Superior

Habilitação para dirigir: B

Vale Refeição","['Microsoft Powerpoint', 'Microsoft Word', 'AutoCAD', 'Management']"
Glassdoor,"https://www.glassdoor.com.br/job-listing/analista-sig-s%C3%AAnior-tetra-tech-am%C3%A9rica-do-sul-JV_IC2514646_KO0,19_KE20,45.htm?jl=1009099151744",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=00000192290e807586ea9a335d7e47f3&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_933b8bc5&cb=1727265669363&jobListingId=1009099151744&jrtk=5-yul1-3-1i8kgt054h74g801,2024-08-30,,2024-09-25,Geoprocessamento,,Analista SIG Sênior,Tetra Tech América do Sul,"Belo Horizonte, Minas Gerais",MG,,,,,1009099151744,"Venha fazer parte do nosso time de especialistas!
Estamos em busca de um/a Analista SIG Sênior, para atuar em Belo Horizonte/MG no formato híbrido.
Somos reconhecidos pela GPTW (Great Place To Work) como uma das melhores empresas para se trabalhar na América do Sul e pela credibilidade técnica dos nossos projetos #LiderandocomCiencia. Na Tetra Tech, as pessoas colaboram, atuam em projetos multidisciplinares e desafiadores. Acreditamos que a diversidade é fundamental para o nosso crescimento e desenvolvimento, aqui respeitamos e valorizamos as diferenças, independente de gênero, orientação afetiva, política, idade, raça, etnia, crença ou se você é PCD, aqui você é acolhida/o e bem-vinda/o.
Seus principais desafios serão:
Coletar e analisar dados geográficos diversos;
Elaborar relatórios técnicos, apresentações, estudos e materiais fornecendo informações relevantes e confiáveis para auxiliar na tomada de decisões estratégicas;
Manter-se atualizado sobre as tendências e avanços no campo dos sistemas de informações geográficas e ciência de dados, a fim de contribuir na oferta de soluções mais inovadoras e eficientes;
Promover capacitações e treinamentos para aprimorar conhecimentos e habilidades próprias e do time;
Participar de equipes multidisciplinares, trabalhando em conjunto com projetistas, desenhistas, engenheiros civis, engenheiros ambientais, geólogos, geotécnicos e outros profissionais, para contribuir com soluções integradas e eficazes para os desafios enfrentados pelos diversos setores atendidos pela Tetra Tech.
Esperamos que você tenha:
Domínio em cartografia, geoprocessamento e em sistemas de informação geográfica (QGIS/ArcGIS);Conhecimentos avançados em bancos de dados relacionais (PostGRESQL + PostGIS);
Experiência no desenvolvimento e manutenção de soluções GIS (Python, JavaScript, CSS, HTML);Conhecimentos avançados em análises de dados, modelagem (aprendizado de máquina) e visualização (Python/R);
Formação acadêmica:
Superior completo Geografia ou Engenharia Ambiental/Minas/Agrimensura/Cartográfica.
É considerado diferencial:
Pós Graduação ou Mestrado na área de Geoprocessamento/Sensoriamento Remoto/Ciência de Dados;","['ArcGIS', 'CSS', 'PostGIS', 'Relational databases', 'Maintenance', 'Databases', 'JavaScript', 'PostgreSQL', 'Data science', 'Python', 'HTML5', 'GIS']"
Glassdoor,"https://www.glassdoor.com.br/job-listing/analista-em-geotecnologia-centro-de-estudos-da-cultura-e-do-meio-ambiente-da-amaz%C3%B4nia-rio-terra-JV_IC2421750_KO0,25_KE26,95.htm?jl=1009322569648",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=00000192290eda0bbcfbb5246c80047a&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_5121448a&cb=1727265692270&jobListingId=1009322569648&jrtk=5-yul1-3-1i8kgtmhoj73u801,2024-09-13,,2024-09-25,Geoprocessamento,,Analista em Geotecnologia,CENTRO DE ESTUDOS DA CULTURA E DO MEIO AMBIENTE DA AMAZÔNIA RIO TERRA,"Porto Velho, Rondônia",RO,,,,,1009322569648,"1. PERFIL PROFISSIONAL E HABILIDADES:
a) Serão selecionados(as) preferencialmente candidatos(as) com nível superior.
b) As áreas de formação superior preferíveis são: Agronomia, Engenharia Ambiental, Engenharia Florestal, Geografia, ou outra cuja formação seja compatível com registro no Conselho Regional de Engenharia e Agronomia (CREA);
c) Terão preferência candidatos(as) com experiência comprovada em atividades de geoprocessamento, com ênfase novo Código Florestal e Cadastro Ambiental Rural/CAR.
d) Experiências anteriores comprovadas com cartas de referência atual, terão pontuação adicional. Nestes casos, será considerado extremamente importante que tais cartas indiquem: a natureza da função exercida, o detalhamento das atividades profissionais (no que couber), à sua duração e seu contexto (Em que projeto foi exercida a função? Quais públicos foram atendidos e em que contexto? Qual a relevância das atividades para a sociedade ou meio ambiente?)
e) Possuir experiência comprovada em elaboração de mapas, sensoriamento remoto, utilização e análise de imagens de satélite, leitura e manipulação de dados geoespaciais e organização de banco de dados geográficos;
f) Conhecimento de softwares de geotecnologia (SIG Arcgis e Qgis);
g) Conhecimento em operação de GPS;
h) Uso do módulo do Cadastro Ambiental Rural – CAR;
i) Uso do módulo do Programa de Regularização Ambiental – PRA;
j) Capacidade de organização e comunicação;
k) Facilidade e proatividades para trabalhar em equipe multidisciplinar;
l) É indispensável a disponibilidade para viagens a campo;
m) É preferível Habilitação (CNH) tipo “B” ou “AB”;
n) Registro no Conselho Regional de Engenharia e Agronomia (CREA);
2. DOCUMENTOS NECESSÁRIOS PARA APRESENTAÇÃO
a) Fotocópia da Cédula de Identidade e CPF/MF;
b) Fotocópia de um comprovante de endereço datado de, no máximo, um mês anterior ao dia marcado para a apresentação dos documentos elencados neste item;
c) Fotocópia dos diplomas e títulos de especialidade;
d) Fotocópia da CNH, categoria B ou AB;
e) Currículo Vitae;
f) Fotocópia da carteira CREA atualizado;","['ArcGIS', 'Databases', 'GPS', 'Communication skills']"
Glassdoor,"https://www.glassdoor.com.br/job-listing/analista-t%C3%A9cnico-erg-engenharia-JV_IC2514646_KO0,16_KE17,31.htm?jl=1009426269778",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&tgt=APPLY_START&s=344&guid=00000192290f132a9389e85194e04f1b&src=GD_JOB_VIEW&t=NS&vt=w&ea=1&cs=1_d63bb169&cb=1727265707009&jobListingId=1009426269778&jrtk=5-yul1-3-1i8kgu4rlm216801,2024-08-30,,2024-09-25,Geoprocessamento,,Analista Técnico,ERG ENGENHARIA,"Belo Horizonte, Minas Gerais",MG,,,,,1009426269778,"Atividades:Análise documental;Elaboração de relatórios;Processos Georreferenciamento e regularização de imóveis;Elaboração de Mapas em ambiente GIS;apoio técnico as equipes de topografia e despachantes.Requisitos:Curso Técnico completo em Agrimensura ou áreas afins;Experiência em AutoCad; QGIS; Topografia, Geoprocessamento; Georreferenciamento e Regularização de Imóveis.*Tipo de vaga: Efetivo CLTPagamento: R$2.000,00 - R$4.500,00 por mêsBenefícios:Assistência médicaAssistência odontológicaSeguro de vidaHorário de trabalho:De segunda à sexta-feiraPagamento adicional:13º salário","['AutoCAD', 'GIS']"
Glassdoor,"https://www.glassdoor.com.br/job-listing/estagio-sql-tecnologia-e-servi%C3%A7os-JV_IC2458266_KO0,7_KE8,33.htm?jl=1009442427568",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&tgt=APPLY_START&s=344&guid=00000192290f4c39aece746745b58e7f&src=GD_JOB_VIEW&t=NS&vt=w&ea=1&cs=1_0093ced8&cb=1727265721517&jobListingId=1009442427568&jrtk=5-yul1-3-1i8kguj34gmv0801,2024-09-11,,2024-09-25,Geoprocessamento,,Estagio,SQL TECNOLOGIA E SERVIÇOS,"Vila Velha, Espírito Santo",ES,,,,,1009442427568,"A vaga consiste no análise e tratamento de dados coletados para recadastramento imobiliário em campo com a utilização de software customizado, elaboração de relatório análise e controle de qualidade, análise e tratamento de dados georreferencia entre outras atividades. Oferecemos bolsa de R$1150,00 + auxílio transporte de R$150,00 + bonificação de R$50,00 por metas e R$50,00 por assiduidade, com carga horária de 6 horas diárias, de 07:00 às 13:00, de segunda-feira à sexta-feira.Requisitos: Estar estudando Arquitetura e Urbanismo, Engenharia Civil ou Geografia, a partir do 3° período. Desejável ter aptidão com tecnologia e rápido aprendizado, conhecimento em Autocad, Excel e ferramentas de Geoprocessamento (QGIS)Tipo de vaga: Estágio / TraineeDuração do contrato: 12 mesesPagamento: R$1.000,00 - R$1.150,00 por mêsHorário de trabalho:De segunda à sexta-feiraPergunta(s) de seleção:Tem experiência com Autocad, Excel e ferramentas de Geoprocessamento (QGIS)",['AutoCAD']
Glassdoor,"https://www.glassdoor.com.br/job-listing/auxiliar-treinee-irla-arcad-geoprocessamento-JV_IC2479365_KO0,21_KE22,44.htm?jl=1009458347813",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&tgt=APPLY_START&s=344&guid=00000192290f71bfa0197e30eff3fdb5&src=GD_JOB_VIEW&t=NS&vt=w&ea=1&cs=1_eab592cd&cb=1727265731239&jobListingId=1009458347813&jrtk=5-yul1-3-1i8kgushej714801,2024-09-24,,2024-09-25,Geoprocessamento,,Auxiliar Treinee IRLA,ARCAD Geoprocessamento,Taubaté,SP,,,,,1009458347813,"AUXILIAR TREINEE IRLA (Instalador e Reparador de Linhas Aéreas)Não precisa ter experiência na área.Descrição da VagaEmpresa do segmento de telecomunicações contrata profissionais para atuar como Auxiliar IRLA (Instalador e Reparador de Linhas Aéreas) de produtos e serviços de TV por Assinatura, Internet, Telefonia Fixa e Móvel de clientes residenciais e empresariais na região de Taubaté.Atribuições:Auxiliar na instalação e configuração dos produtos e serviços prestados pela CLARO (TV por Assinatura, Internet Banda Larga, Telefonia Fixa e Móvel);Requisitos:Ensino Médio Completo;CNH categoria “B” válida;Conhecimento em informática e Internet;Necessário residir em Taubaté, Tremembé ou Pindamonhangaba;Disponibilidade de horário e viagem;Jornada de trabalho: Segunda à Quinta das 8h às 16h00Sexta e Sábado das 8h às 17h00Benefícios:Treinamento e Capacitação para exercício da profissão de IRLA (Instalador e Reparador de Linhas Aéreas);Treinamento e Certificação NR10 e NR35;Veículo da empresa, Ferramental, EPI’s, Aparelho celular e chip para o exercício das atividades;Salário: a partir de R$1.320,00Periculosidade após mudança de função (somente após conclusão de todos os Treinamentos)Vale Refeição de R$23,00 por dia;Tipo de vaga: Tempo Integral, Efetivo/CLTTipo de vaga: Tempo integral, Efetivo CLTPagamento: a partir de R$1.412,00 por mêsBenefícios:Celular da empresaSeguro de vidaVale-refeiçãoVeículo da empresaPagamento adicional:13º salárioAdicional de periculosidadeComissãoHora extraPergunta(s) de seleção:POSSUÍ CNH CATEGORIA B VALIDA?Escolaridade:Ensino Médio completo (Preferencial)Local do trabalho: PresencialData de início prevista: 01/10/2024",['Computer skills']
Glassdoor,"https://www.glassdoor.com.br/job-listing/desenvolvedor-geo-gr%C3%A3o-intelig%C3%AAncia-JV_IC2479061_KO0,17_KE18,35.htm?jl=1008819136330",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=00000192290fedeb963b8d783ce4dcbd&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_4898bd24&cb=1727265762915&jobListingId=1008819136330&jrtk=5-yul1-3-1i8kgvrgd24s7001,2024-09-17,,2024-09-25,Geoprocessamento,,Desenvolvedor GEO,Grão Inteligência,"São Paulo, São Paulo",SP,,,,,1008819136330,"Como é trabalhar na Grão?
Muito além de uma consultoria, somos propulsores no processo de transformação.
Nosso maior objetivo é gerar valor e fazer a diferença para nossos clientes, impulsionando-os na jornada de adaptação às mudanças do mercado.
Entregamos soluções que visam a transformação estratégica do negócio, por meio de uma equipe multidisciplinar que busca sempre modelos inovadores e a excelência na forma e nos resultados.

Formação
Superior completo em TI, Ciência da Computação, Analista de Sistemas e Desenvolvimento ou áreas correlatas
Nível de experiência
Pleno ou Sênior
Setor
TI/Telecom
Local de atuação
Presencial/Hibrida em SP (Vila Olímpia)
Requisitos:
Desenvolvimento Geo com foco em GeoServer;
Domínio de coordenadas geográficas (lat e long);
Expertise em geoprocessamento e análise de informações geográficas;
Conhecimentos de ferramentas de GEO e interfaces de geolocalização;
Modelagem de dados geográficos;
Análise de dados espaciais e de imagens.","['Computer science', 'Data modeling', 'IT']"
Glassdoor,"https://www.glassdoor.com.br/job-listing/assistente-de-geoprocessamento-pleno-geopixel-JV_IC2464122_KO0,36_KE37,45.htm?jl=1009398612463",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=0000019229102fd18c11996b9b010818&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_f3223960&cb=1727265779798&jobListingId=1009398612463&jrtk=5-yul1-3-1i8kh0bvrjcnc801,2024-09-07,,2024-09-25,Geoprocessamento,,Assistente de Geoprocessamento Pleno,Geopixel,"São José dos Campos, São Paulo",SP,,,,,1009398612463,"A Geopixel está com vagas abertas para Assistente de Geoprocessamento Pleno.
Se você possui conhecimento em Realizar atividades operacionais de preparação de dados geoespaciais, controle de qualidade e interpretação de imagens de satélite ou aéreas de variadas resoluções espaciais, venha fazer parte no nosso time!!
#vempraGEO
Responsabilidades e atribuições

Analisar a metodologia de coleta, armazenamento e tratamento de informações geoespaciais, alinhando com fornecedores a melhor utilização para atender às necessidades do cliente e encaminhando os insumos para a execução dos serviços.
Organizar e manter atualizado o banco de dados de projetos de geoprocessamento da empresa.
Realizar análise da capacidade técnica de atendimento de fornecedor ao padrão de qualidade, prazo e assistência esperado pela Geopixel, realizando a validação da sua qualificação para prestar serviços para a empresa.
Produzir relatórios internos de acompanhamento de projeto com métricas, desafios e prazos e relatórios mensais de atividades realizadas no período com o objetivo de realizar medições junto ao cliente.
Realizar treinamento e passagem de conhecimento aos atuais e novos colaboradores da empresa.
Monitorar o desenvolvimento dos processos de geoprocessamento, executando atividades técnicas de geração de imagens e de vetores controlando a qualidade dos produtos gerados, buscando garantir a conformidade do resultado com o que foi previsto no planejamento.
Fornecer informações para melhoria dos processos de geração de produtos de imagem e vetores.

Requisitos e qualificações

Ensino Médio Completo ou Cursando em Geografia, Engenharia Cartográfica, Arquitetura, Tecnólogo em Geoprocessamento, Engenharia Florestal, Biologia, Engenharia Ambiental e áreas afins e/ou experiência comprovada.
﻿
Conhecimentos desejáveis:
Conhecimento intermediário em Cartografia.
MS Office intermediário.
Noções intermediária em ferramentas SIG (ArcGis, QGis, AutoCad, entre outros) e/ou ferramentas de processamento digital de imagem (PCI, PIX4D, Potree, entre outros).
Inglês intermediário.
Informações adicionais

Vale Refeição - Cartão Flash;
 Plano de Saúde;
Assistência Odontológica;
Vale transporte;
Seguro de vida em grupo;
Total pass com desconto em cartão de crédito e inclusão de dependentes;
Horário Flexível;
Day Off no mês de aniversário;
Convênio com farmácias e desconto em folha;
Cooperativa de crédito SICOOB;
Convênio com o SESC (descontos em eventos pagos e hotéis, passeios e viagens a preços acessíveis);
Parceria com psicóloga (valor social);
Parceria com agência de turismo (descontos em pacotes de viagens);
Parceria com Empório Nestlé (descontos na loja física);
